2019-01-04 11:49:09,141 INFO  AbstractTestContextBootstrapper.java:319 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [thrift.DemoThriftTest], using SpringBootContextLoader
2019-01-04 11:49:09,187 INFO  AbstractContextLoader.java:264 - Could not detect default resource locations for test class [thrift.DemoThriftTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-01-04 11:49:09,267 INFO  AbstractTestContextBootstrapper.java:260 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener]
2019-01-04 11:49:09,291 INFO  AbstractTestContextBootstrapper.java:187 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2a266d09, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ab9e72c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@186f8716, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1d8bd0de, org.springframework.test.context.transaction.TransactionalTestExecutionListener@45ca843, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@11c9af63, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@757acd7b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@36b4fe2a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@574b560f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@ba54932, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@28975c28, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3943a2be]
2019-01-04 11:49:09,987 INFO  StartupInfoLogger.java:48 - Starting DemoThriftTest on dengjunwudeMacBook-Pro.local with PID 1330 (started by dengjunwu in /Users/dengjunwu/IdeaProjects/demo-thrift-service)
2019-01-04 11:49:09,988 INFO  SpringApplication.java:597 - The following profiles are active: test
2019-01-04 11:49:10,036 INFO  AbstractApplicationContext.java:583 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@906d29b: startup date [Fri Jan 04 11:49:10 CST 2019]; root of context hierarchy
2019-01-04 11:49:11,064 INFO  DefaultListableBeanFactory.java:828 - Overriding bean definition for bean 'niftyClientServicePool' with a different definition: replacing [Root bean: class [null]; scope=singleton; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=com.cyril.springboot.thrift.client.ThriftServiceConfiguration; factoryMethodName=niftyClientServicePool; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/cyril/springboot/thrift/client/ThriftServiceConfiguration.class]] with [Root bean: class [null]; scope=singleton; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=thriftServiceConfiguration; factoryMethodName=niftyClientServicePool; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dengjunwu/client/ThriftServiceConfiguration.class]]
2019-01-04 11:49:11,106 INFO  DefaultListableBeanFactory.java:828 - Overriding bean definition for bean 'thriftServerRunner' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=thriftAutoConfiguration; factoryMethodName=thriftServerRunner; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/dengjunwu/server/autoconfigure/ThriftAutoConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=com.cyril.springboot.thrift.server.autoconfigure.ThriftAutoConfiguration; factoryMethodName=thriftServerRunner; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [com/cyril/springboot/thrift/server/autoconfigure/ThriftAutoConfiguration.class]]
2019-01-04 11:49:11,339 INFO  AutowiredAnnotationBeanPostProcessor.java:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-01-04 11:49:11,422 INFO  PostProcessorRegistrationDelegate.java:325 - Bean 'thriftServiceConfiguration' of type [com.dengjunwu.client.ThriftServiceConfiguration$$EnhancerBySpringCGLIB$$aaf531ab] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
